n	plant_id	ploidy	habitat	W_g	TW_g	DW_g	area_cm2	RWC	LMA_gm2	pixels	p_cm2	cup_mg	ws_mg	s_mg	tray_id	fvfm_avg	SLA	whc_p	CN_ratio	Np
14	SO18-H1-08-34	2x	riverbed	0.0326	0.0417	0.0062	1.214391639	74.3662	51.0544	17197	14161	27.39	32.51	5.12	D12	NA	195.8696192	82.53521127	40.2976	1.09
15	SO18-H1-08-03	2x	riverbed	0.0536	0.0738	0.0108	1.458018502	67.9365	74.0731	20647	14161	27.24	33.93	6.69	E10	NA	135.0017131	82.85714286	43.5873	1.01
16	SO18-H1-08-47	2x	riverbed	0.0424	0.0606	0.008	1.19991526	65.3992	66.6714	16992	14161	27.47	32.65	5.18	B11	NA	149.9894075	84.79087452	33.1853	1.30
17	SO18-H3-07-03	2x	ridge	0.024	0.0295	0.005	0.777769932	77.5510	64.28636281	11014	14161	27.65	31.7	4.05	E11	0.826	155.5539863	79.59183673	22.9550	1.88
18	SO18-H3-07-04	2x	ridge	0.0215	0.0277	0.0053	0.613092296	72.3214	86.44701682	8682	14161	27.64	33.12	5.48	A8	0.7935	115.6777916	76.33928571	54.0967	0.80
19	SO18-H3-07-08	2x	ridge	0.0287	0.0392	0.0061	0.882847257	68.2779	69.09462486	12502	14161	26.71	32.82	6.11	E6	0.8165	144.7290585	81.57099698	32.3834	1.38
20	SO18-H3-07-09	2x	ridge	0.0194	0.0288	0.0055	0.64091519	59.6567	85.81478625	9076	14161	27.4	31.99	4.59	G12	0.8015	116.5300345	76.39484979	37.3819	1.22
21	SO18-H3-07-12	2x	ridge	0.0299	0.0474	0.0074	0.888072876	56.2500	83.32649491	12576	14161	27.69	33.67	5.98	C2	0.814	120.0098481	81.5	44.4331	0.98
22	SO18-H3-07-18	2x	ridge	0.0273	0.0361	0.0079	0.770849516	68.7943	102.4843349	10916	14161	26.64	31.26	4.62	D2	0.788	97.57588814	71.9858156	31.3884	2.14
23	SO18-H3-07-39	2x	ridge	0.0159	0.0218	0.0033	0.497422498	68.1081	66.34199319	7044	14161	NA	NA	NA	NA	0.795	150.7340904	82.16216216	NA	NA
24	SO18-H3-07-45	2x	ridge	0.0108	0.0333	0.0058	0.654049855	18.1818	88.67825524	9262	14161	27.17	32.52	5.35	A3	0.8075	112.7672164	78.90909091	42.2215	1.05
25	SO18-H2-06-30	3x	slope	0.0174	0.0235	0.0053	NA	66.4835	NA	NA	14161	27.62	32.4	4.78	F5	0.8215	NA	70.87912088	21.8762	2.10
26	SO18-H2-06-09	3x	slope	0.0146	0.0223	0.0042	0.404067509	57.4586	103.9430269	5722	14161	NA	NA	NA	NA	0.767	96.20654985	76.79558011	NA	NA
27	SO18-H2-06-08	2x	slope	0.0259	0.0374	0.0054	NA	64.0625	NA	NA	14161	27.82	31.44	3.62	G11	0.7885	NA	83.125	21.2318	2.72
28	SO18-H2-06-17	2x	slope	0.0175	0.0257	0.0048	0.462043641	60.7656	103.8862907	6543	14161	27.85	32.07	4.22	D10	0.7465	96.25909187	77.03349282	53.9997	0.81
29	SO18-H2-06-19	2x	slope	0.0091	0.0135	0.0024	0.33380411	60.3604	71.89845568	4727	14161	NA	NA	NA	NA	0.56	139.0850458	78.37837838	NA	NA
30	SO18-H2-06-21	3x	slope	0.0195	0.0273	0.0052	0.554480616	64.7059	93.78145695	7852	14161	26.76	31.06	4.3	H1	0.788	106.6308876	76.47058824	29.3336	1.89
31	SO18-H2-06-31	3x	slope	0.0209	0.0281	0.0058	0.570016242	67.7130	101.7514866	8072	14161	26.94	31.75	4.81	G10	0.8045	98.27866238	73.99103139	23.3324	1.90
